Category,latitude,longitude,Location,Sub-district,YouTube Link
LIVE,37.5665256,127.0066487,DDP (Dongdaemun Design Plaza),"Seoul, Korea",https://www.youtube.com/watch?v=q6L90G9Ae84
LIVE,37.514742,127.007423,Namsan Tower Hannam UN Village,"Seoul, Korea",https://www.youtube.com/live/dbrTAsxhdiE
LIVE,,,"Seogang Bridge, Han river","Seoul, Korea",
LIVE,37.5140403,127.0047875,"Ban-po Bridge, Han river","Seoul, Korea",https://www.youtube.com/watch?v=wkInKAoXN50
LIVE,37.512324,127.000088,Han River Park Olympic Expressway Fountain Show,"Seoul, Korea",https://www.youtube.com/watch?v=aRmpaq9sbLA
LIVE,37.534146,127.014325,Gangbyeonbuk-ro and Han River,"Seoul, Korea",https://www.youtube.com/watch?v=r4APQYCkVpE
LIVE,,,,,
LIVE,,,,,
LIVE,,,,,
LIVE,,,,,
LIVE,,,,,
LIVE,,,,,
LIVE,,,,,
LIVE,,,,,
LIVE,,,,,
LIVE,,,,,
LIVE,,,,,
LIVE,,,,,
LIVE,,,,,
LIVE,,,,,
LIVE,,,,,
LIVE,,,,,
LIVE,,,,,
LIVE,,,,,
LIVE,,,,,
LIVE,,,,,
LIVE,,,,,
LIVE,,,,,
LIVE,,,,,
LIVE,,,,,
LIVE,,,,,
LIVE,,,,,
LIVE,,,,,
